Account Name,Corporate Structure,Certified B Corp,State of Incorporation,Operating State/Province,Operating Country,Website
"AngelRoot, Inc.",Benefit Corporation,FALSE,NY,New York,United States,AngelRoot.Com
Angel'S Hope Home Health Inc.,Benefit Corporation,FALSE,NV,,,
"Angleshelter, Pbc",Benefit Corporation,FALSE,CO,,,
Animal.us,Benefit Corporation,FALSE,DE,California,United States,www.cheesemans.com
Anneke's Brewing Company,Benefit Corporation,FALSE,CA,California,United States,
"Annona, PBC",Benefit Corporation,FALSE,DE,,,
Annual Conference on Antimicrobials and Drug Resistance,Benefit Corporation,FALSE,NV,Nevada,United States,microbiologyconferences.com
Anoleek Inc,Benefit Corporation,FALSE,NV,,,
Another Creation Inc,Benefit Corporation,FALSE,CO,Colorado,United States,
Answer Tech Corp,Benefit Corporation,FALSE,NV,,,
ANTERESA AUTO REPAIR CORP,Benefit Corporation,FALSE,NY,,,
"Anthro Message, Inc.",Benefit Corporation,FALSE,CO,,,
"Anvil Academy, LLC",Benefit LLC,FALSE,OR,,,
"Anything Under Colorado Specialties Corp, Llc",Benefit Corporation,FALSE,CO,,,
Ao Inc.,Benefit Corporation,FALSE,NV,,,
Aoro LLC,Benefit LLC,FALSE,OR,,,
Ap Creative Media Inc,Benefit Corporation,FALSE,NV,,,
"Apex Refrigeration Services, Inc.",Benefit Corporation,FALSE,NV,,,
Aphrodite'S Palace LLC,Benefit Corporation,FALSE,OR,,,
"APMG Health, Inc",Benefit Corporation,FALSE,DC,,,
"Apogee Evolution, Inc.",Benefit Corporation,FALSE,NV,,,
"Applegate Valley Organics, LLC",Benefit LLC,FALSE,OR,Oregon,United States,www.applegatevalleylavenderfarm.com
Appleseed Capital,Benefit Corporation,TRUE,DE,Illinois,United States,www.appleseedcapital.com
"Applied Philosophy Lab, P.B.C.",Benefit Corporation,FALSE,DE,,,
"Apprenta, PBC",Benefit Corporation,FALSE,DE,,,
Appropriate It,Benefit Corporation,FALSE,DE,"Washington, DC",,www.appropriateit.org
Apps Team,Benefit Corporation,FALSE,DE,New York,United States,www.appsteam.com
Aqua Diva Las Vegas Inc,Benefit Corporation,FALSE,NV,,,
Aqua View Inc.,Benefit Corporation,FALSE,NV,,,
Aquabryte Pool & Spa Service Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
"Aquagardens, LLC",Benefit LLC,FALSE,OR,,,
"AQUAOSO Technologies, PBC",Benefit Corporation,FALSE,DE,California,United States,www.aquaoso.com
AR ASSETS MANAGMENT INC,Benefit Corporation,FALSE,NY,,,
"Aramfo Educational Foundation, Pbc",Benefit Corporation,FALSE,CO,,,
Araon Construction Inc,Benefit Corporation,FALSE,OR,Oregon,United States,
"Arapazuma, Inc.",Benefit Corporation,FALSE,CO,,,
Arbitrage Ed,Benefit Corporation,FALSE,DE,Massachusetts,United States,www.arbitrageed.com
Arbor Axe Tree Service LLC,Benefit LLC,FALSE,OR,,,
Arbor-World Inc.,Benefit Corporation,FALSE,NV,,,
"Arcadia Technology, Inc.",Benefit Corporation,TRUE,MA,Massachusetts,United States,www.Arcadia-tec.com
"ArchAdviser, Inc.",Benefit Corporation,FALSE,PA,Pennsylvania,United States,
Archer 6 Cleaning Service Inc,Benefit Corporation,FALSE,NY,,,
Archi's Acres,Benefit Corporation,TRUE,CA,California,United States,www.archisacres.com
"Archrenovators And Gc, Inc.",Benefit Corporation,FALSE,NV,,,
Argent Atm LLC,Benefit LLC,FALSE,OR,,,
"Argent Management Group, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,www.americanmg.com
"Aria Group, LLC",Benefit LLC,FALSE,OR,,,
"Ark Of Hope Bc, Inc",Benefit Corporation,FALSE,MA,Massachusetts,United States,
Arkiis Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,
Armaan Corporation,Benefit Corporation,FALSE,NH,,,
Armor Transportation LLC,Benefit LLC,FALSE,OR,,,
Arock Publishing LLC,Benefit LLC,FALSE,OR,,,
Arora Management Company,Benefit Corporation,FALSE,NV,Nevada,United States,
Arouse Love LLC,Benefit LLC,FALSE,OR,Oregon,United States,
"Arrow Productivity, Inc.",Benefit Corporation,FALSE,OR,,,
Arryn Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
"Art & Eden, PBC",Benefit Corporation,FALSE,DE,New York,United States,artandeden.com
"Art Haus Coffee Collective, LLC",Benefit LLC,FALSE,OR,,,
"Art Of Transition Services, LLC",Benefit LLC,FALSE,OR,,,
Art Under 5 Inc.,Benefit Corporation,FALSE,CA,California,United States,www.artunder5.com
"Artemida Line, LLC",Benefit LLC,FALSE,OR,,,
Artemis Foods,Benefit Corporation,TRUE,OR,Oregon,United States,www.artemisfoods.com
Artistic Custom Walls GBC,Benefit Corporation,FALSE,MN,Minnesota,United States,
Artists Benefit Corporation,Benefit Corporation,FALSE,FL,,United States,www.artistsbenefit.com/
Artlifting PBC,Benefit Corporation,FALSE,DE,Massachusetts,United States,
